"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","numIntolSP","pctTOLindv","pctTC_noRBT","pctCW_noRBT","pctBKT_noRBT","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","ML1_numIntolSp","ML2_pctTolindv","ML3_pctTCnoRBT","ML4_pctCWnoRBT","ML5_pctBKTnoRBT","IBIScore_M","Rating_M","IBIScore_L","Rating_L"
105,"YEL","37",3,0,45,1,2,2,0,38,84.4444444444444,0,0,0,NA,0,0,38,7,7,0,15.5555555555556,0,84.4444444444444,0,10,0,5,10,5,NA,0,5,10,0,5,10,0,10,0,10,0,60,"Fair",20,"Poor"
106,"YEL","42",9,28,427,2,4,4,3,45,10.5386416861827,0,0,28,0,0.234192037470726,6.55737704918033,15,382,127.333333333333,0,28.3372365339578,6.55737704918033,10.5386416861827,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,"Poor",0,"Very Poor"
107,"YEL","44",4,0,165,0,3,3,1,0,0,0,0,0,NA,3.63636363636364,0,0,165,89.6739130434783,0,76.3636363636364,0,0,0,10,0,5,10,5,NA,0,0,0,0,0,0,0,0,0,0,0,30,"Poor",0,"Very Poor"
109,"YEL","50",10,3,63,2,4,5,4,3,4.76190476190476,0,0,3,0,6.34920634920635,4.76190476190476,2.5,60,50,0,34.9206349206349,3.17460317460317,3.17460317460317,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,"Poor",0,"Very Poor"
110,"YEL","53",6,0,113,1,2,3,2,41,36.283185840708,0,0,0,NA,0,0,41,72,72,0,38.9380530973451,0,36.283185840708,0,5,0,5,5,5,NA,0,0,10,0,5,0,0,0,0,0,0,35,"Fair",0,"Very Poor"
111,"YEL","54",14,0,833,0,5,11,4,0,0,0,0,0,NA,8.5234093637455,0,0,833,277.666666666667,0,37.4549819927971,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor",0,"Very Poor"
114,"YEL","81",8,16,114,1,4,4,3,16,14.0350877192982,0,0,16,0,5.26315789473684,14.0350877192982,6.25,98,38.28125,0,39.4736842105263,14.0350877192982,14.0350877192982,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,10,"Poor",10,"Poor"
116,"YEL","89",3,0,31,1,2,2,0,2,6.45161290322581,0,0,0,NA,0,0,1.72413793103448,29,25,0,93.5483870967742,0,6.45161290322581,0,10,0,5,10,5,NA,0,0,10,0,0,5,0,0,0,0,0,45,"Fair",0,"Very Poor"
117,"YEL","97b",3,349,352,2,1,1,0,350,99.4318181818182,0,0,349,0,0,99.1477272727273,144.628099173554,2,0.826446280991736,0,0.568181818181818,99.1477272727273,99.4318181818182,0,10,5,10,10,10,0,0,10,10,10,10,10,0,20,20,20,0,95,"Good",60,"Good"
118,"YEL","106",10,0,116,0,3,7,2,0,0,0,0,0,NA,0,0,0,116,62.3655913978495,0,51.7241379310345,0,0,0,0,0,0,5,5,NA,0,0,10,0,0,0,0,0,0,0,0,20,"Poor",0,"Very Poor"
119,"YEL","109",4,0,129,1,2,3,0,70,54.2635658914729,0,0,0,NA,0,0,52.2388059701493,59,44.0298507462687,0,44.9612403100775,0,54.2635658914729,0,10,0,5,10,5,NA,0,5,10,0,5,5,0,0,0,10,0,55,"Fair",10,"Poor"
120,"YEL","118",9,0,60,1,5,6,2,8,13.3333333333333,0,0,0,NA,10,0,5.79710144927536,52,37.6811594202899,0,73.3333333333333,0,13.3333333333333,0,5,0,0,5,0,NA,0,0,0,0,0,5,0,0,0,0,0,15,"Poor",0,"Very Poor"
121,"YEL","118b",8,13,118,2,4,3,3,14,11.864406779661,0,0,13,0,47.4576271186441,11.0169491525424,6.73076923076923,104,50,0,83.8983050847458,11.0169491525424,11.864406779661,0,5,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,20,"Poor",0,"Very Poor"
122,"YEL","121",6,0,179,1,2,3,2,22,12.2905027932961,0,0,0,NA,0,0,22,157,157,0,67.5977653631285,0,12.2905027932961,0,5,0,5,5,5,NA,0,0,10,0,0,0,0,0,0,0,0,30,"Poor",0,"Very Poor"
124,"YEL","140",5,60,80,2,3,2,1,60,75,0,0,60,0,1.25,75,30,20,10,0,25,72.5,72.5,0,5,5,5,10,5,0,0,5,5,10,0,10,0,0,20,10,0,60,"Fair",30,"Fair"
125,"YEL","153",13,0,1461,1,5,9,4,1,0.0684462696783025,0,0,0,NA,11.9096509240246,0,0.333333333333333,1460,486.666666666667,0,53.388090349076,0,0.0684462696783025,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor",0,"Very Poor"
127,"YEL","157",2,0,37,1,1,1,0,28,75.6756756756757,0,0,0,NA,0,0,14.5833333333333,9,4.6875,0,24.3243243243243,0,75.6756756756757,0,10,0,10,10,10,NA,0,5,10,0,0,10,0,0,0,10,0,65,"Fair",10,"Poor"
