"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for","estimate","se","lcl","ucl"
3782,627110.969777,4772086.10145,421942,33.6019,13.5597239,0.834722332891267,0.0865640933390843,0.596207082241211,0.945280345910147
3783,628846.692894,4772176.72544,31125,2.47868,100,0.832596052352602,0.0826601044091663,0.608680683872129,0.940838905801854
3784,629774.881453,4771772.17694,21248,1.69211,10.4079676,0.309555065388123,0.063324783005817,0.200542968354941,0.444851234745682
3785,627372.155737,4771758.04748,417105,33.2167,13.5911551,0.830905779635141,0.086884165595972,0.593883909792257,0.942895678529616
3786,620281.41141,4771538.84946,30555,2.43329,4.4687943,0.288317919620847,0.062870028132905,0.181815315131403,0.424814888123693
3787,628828.172426,4771624.27891,21237,1.69124,4.5526495,0.277727329929927,0.0638435292000406,0.170857431272147,0.417763022926182
3788,629946.622394,4771577.43824,10256,0.81675,1.0537099,0.247574498059752,0.0648717805386648,0.142565837110235,0.394355495108802
3789,621389.590659,4771148.13407,16127,1.28429,3.3277612,0.265474885498051,0.0644127077427084,0.159074680092867,0.408473652960014
3790,627282.553953,4771222.43075,46636,3.71392,100,0.844839197055269,0.0774648353343511,0.630986087085456,0.94546937975092
3791,621084.922784,4770929.45806,40832,3.25171,3.3345351,0.294565873015692,0.0620566197749375,0.188676024881111,0.428497140741268
3792,621393.127147,4771055.45197,81384,6.48112,1.6735504,0.336231827894251,0.0595150396512037,0.230978830299305,0.460713227153365
3793,627244.157577,4771161.51438,366039,29.15,10.6269112,0.771403818803139,0.0922286688832979,0.547645479057463,0.903901611431576
3794,629928.192723,4771491.91344,9439,0.751687,8.4238901,0.284316859605143,0.0650900714345861,0.175070722306583,0.426489431365364
3795,623604.24275,4770838.77296,168967,13.4559,1.9812938,0.459886433021416,0.0637553243589116,0.339870723212431,0.584741988951773
3796,623934.98039,4770746.86437,204759,16.3062,1.9686056,0.51194770726017,0.0713366828278883,0.374774257363162,0.647344914217879
3797,623981.367193,4770794.20106,9724,0.774383,22.6863728,0.366423893731491,0.066055434433014,0.248756531416809,0.502519125434539
3798,626983.520928,4770847.21528,359470,28.6269,10.0718546,0.761942662995077,0.0927099636792483,0.540308264663086,0.897074712484359
3799,627594.174712,4771017.21,41934,3.33947,28.1254883,0.445967939624616,0.0589144599614618,0.335299170614334,0.562265820435793
3800,621937.287262,4770693.97057,103459,8.23909,1.8480853,0.366631756974389,0.0586624902833496,0.26079754268957,0.487112694948112
3801,628033.596203,4770673.05892,34322,2.73328,100,0.835181130972567,0.0815585330262849,0.613379532870909,0.941808499447666
3802,626752.808441,4770664.55502,337766,26.8984,100,0.967521230135206,0.0254243097564209,0.859167386756934,0.993172255499954
3803,623326.558509,4770692.35586,162648,12.9527,2.0040069,0.450886395272615,0.0626977454273963,0.333272684372545,0.574256776179558
3804,621149.203262,4770872.52911,35044,2.79077,0,0.270021330425644,0.0632553504563421,0.164723463867427,0.409620615150559
3805,628976.962695,4771277.15598,14714,1.17177,0,0.247276627716086,0.0645693935828469,0.142692120266121,0.393345169204003
3806,626850.477358,4770518.87964,19740,1.57202,33.4788933,0.448633903355266,0.0666256315568132,0.324295952832391,0.579742157491218
3807,622485.611654,4770524.41617,113815,9.0638,0,0.369423839897879,0.0600908284538092,0.261097145231773,0.49272432308713
3808,622610.53566,4770465.62659,118480,9.43531,1.6175638,0.38578802844343,0.0589586158419415,0.278337209216646,0.505654898872581
3809,623165.952902,4770497.59466,157396,12.5344,2.0689013,0.443726697895699,0.0618617689576859,0.327996574422491,0.565903935216958
3810,624148.346887,4770429.17692,216292,17.2247,2.8990519,0.534823442713879,0.0734199302470659,0.392006040469828,0.672150365542389
3811,625341.717296,4770469.22647,274791,21.8833,2.9585807,0.618353248903872,0.0882777855708116,0.437675862842912,0.771311013838286
3812,624482.610793,4770278.6033,225468,17.9554,2.7801831,0.547348988570199,0.0758798402272112,0.39883901585547,0.687881837008168
3813,624977.932991,4770356.42409,268532,21.3849,2.9194,0.609450651951458,0.0868134455564507,0.432942512543624,0.761307825789143
3814,626508.192966,4770479.79659,331893,26.4307,7.9296441,0.720353433342029,0.0932006096114619,0.509852471489601,0.864480811620651
3815,620782.035529,4770384.96169,27503,2.19024,0,0.261432891731074,0.0637601595581454,0.156335911717915,0.403399277167119
3816,625429.606878,4770186.3271,285036,22.6992,100,0.956325811580429,0.0309662847710874,0.836608175276023,0.989433857101306
3817,620287.389733,4770158.19366,12737,1.01433,0,0.245134826487599,0.0646869044147156,0.140651697205322,0.391842515759741
3818,622596.956686,4770430.57165,35153,2.79945,3.8006918,0.290235240889918,0.062515619546399,0.184065363407906,0.425694307068817
3819,620649.616867,4770167.45953,19331,1.53945,0,0.252327256808114,0.0642862285561349,0.147530058014497,0.396906628823646
3820,624506.22846,4770254.86609,38935,3.10064,0,0.274521810338761,0.0629911310170535,0.169143879550709,0.412923287699533
3821,625844.995565,4770180.16901,291159,23.1868,100,0.957794528039718,0.0302707951087721,0.839485553331988,0.989946812524485
3822,628333.848391,4770460.58645,28789,2.29265,7.4052753,0.302188927801367,0.0626005919376026,0.194858440435028,0.436581601814558
3823,624428.014162,4770101.10438,33902,2.69983,0,0.268709397801131,0.0633325670390197,0.163437851830412,0.408663571118689
3824,625883.221024,4770189.65118,32549,2.59208,26.534914,0.422270910338325,0.0609818507630288,0.309301442691148,0.544003657864643
3825,624388.504498,4769856.32696,30656,2.44133,0,0.265002279015293,0.0635507395056649,0.159813282348535,0.405972559872448
3826,622398.471258,4770103.18432,28812,2.29448,4.5997343,0.286936417735585,0.0630357667551103,0.180324725113118,0.423976389443151
3827,624379.580582,4769739.97493,22537,1.79476,0,0.255874277515041,0.0640832043110147,0.150948312617121,0.399424169933994
3828,628604.62988,4769846.19856,16047,1.27792,0,0.248727757832041,0.0644888536517065,0.144078435811812,0.394365774557529
3829,622264.61252,4769646.67393,16690,1.32913,0.1664351,0.250247598377292,0.0644473999717034,0.1454769671693,0.395545944363344
3830,623945.429327,4769485.37307,14000,1.11491,0,0.246501661592098,0.0646121066579476,0.141953038239194,0.392800963001228
3831,625963.830907,4769663.00303,22785,1.81451,9.0375881,0.303824196592091,0.0632206914095195,0.195450477183843,0.439465769257842
3832,625905.570196,4783756.61357,35237,2.80614,13.5627508,0.345735849889459,0.0605336937237754,0.238242568358622,0.471696931831736
3833,626308.031049,4783629.2254,45658,3.63603,10.4855785,0.341262621838089,0.0594486485096734,0.235775419326595,0.465215467885796
3834,626428.336808,4783699.83192,23168,1.84501,0,0.256576240895836,0.0640426969315618,0.151626676487688,0.399924100027004
3835,630712.331823,4783456.04503,10285,0.819059,0,0.242495831628512,0.0648292366866698,0.13814734343247,0.389996831662829
3836,627820.849843,4783187.45279,17934,1.4282,2.6022153,0.263826240289365,0.0642826939932562,0.157775245749226,0.406735905054271
3837,627931.2991,4783344.93249,27435,2.18482,1.0638571,0.266775918604452,0.0636448320398816,0.161276723324024,0.407737718009272
3838,630959.487977,4783157.69965,15854,1.26255,0,0.248517289034205,0.0645005787100039,0.143877177732164,0.394217618763181
3839,625303.295501,4782969.44423,12534,0.998161,25.2437458,0.386003300471351,0.0658776549963161,0.267188582402736,0.520150684273516
3840,630867.609338,4782873.39934,21936,1.7469,0,0.25520687378187,0.0641216241886993,0.150303911062168,0.398949384461094
3841,631800.646119,4782844.71152,9774,0.778365,0,0.241948310188692,0.0648584005599663,0.137629144014568,0.389614667193102
3842,627088.122097,4782748.14951,17125,1.36377,15.3537512,0.332563602405204,0.0638201968816003,0.220948256452311,0.466779756177421
3843,630911.887001,4782568.5326,28108,2.23842,0.809696,0.266241485596507,0.0636251296682941,0.160823966215389,0.407226611565728
3844,630928.842442,4782527.97541,31942,2.54374,0,0.266467010339869,0.0634645723390505,0.161243895169581,0.407033508291308
3845,628001.027621,4782557.18038,52073,4.1469,3.3847451,0.308663425566343,0.0609535592552703,0.203230222190129,0.438679160320027
3846,625496.185896,4782464.61289,23458,1.86811,24.229496,0.394851632974595,0.0629183987082643,0.280282866611908,0.522268202274739
3847,628022.679279,4782464.61561,31052,2.47287,1.2509711,0.271896357728778,0.0633419703996243,0.166292893743518,0.411464766640348
3848,632821.637977,4782286.17027,11884,0.946398,0,0.244214562734525,0.0647368600309089,0.139777143402287,0.391198185533084
3849,626816.817873,4782408.19774,79460,6.3279,12.4252014,0.399030668996516,0.0537443417944314,0.299691733365455,0.507438195968758
3850,626878.277027,4782252.96162,21546,1.71584,13.2927608,0.326329160604214,0.0630619275288222,0.216350503191084,0.45943732489317
3851,628288.533687,4782296.09781,10559,0.840879,0,0.242789757699159,0.0648135270594036,0.138425727870156,0.390202095661366
3852,626871.601728,4782059.55625,103285,8.22523,12.5073671,0.433330940222804,0.0515136832920214,0.336385451284095,0.535663419781813
3853,625570.66421,4782002.93253,29672,2.36297,21.6311436,0.387269114296298,0.061152120388695,0.276096923482882,0.511571322038734
3854,632647.085112,4781804.24583,18957,1.50966,7.1651192,0.288930006019557,0.0639011162254396,0.180909801465276,0.427764656276934
