"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for"
491,575732.72216,4804936.73076,466844,37.1777,2.6219125
492,571033.705572,4805070.1886,248433,19.7843,0.1662025
493,575755.241628,4804885.77144,11354,0.90419,0
494,578599.89215,4805231.79581,15887,1.26518,16.4339046
495,574006.009774,4805038.62796,62676,4.99128,7.9033437
496,574065.493244,4805023.57517,10385,0.827023,0
497,577241.380451,4805060.36364,60401,4.81011,0
498,575853.512896,4804877.11861,115885,9.22865,4.5898046
499,578291.536922,4804877.51046,9632,0.767057,0
500,570675.165224,4804841.47948,242055,19.2764,0.165724
501,573162.861988,4804736.34423,54090,4.30753,1.7124815
502,566489.849256,4804631.62264,9149,0.728592,0
503,566583.304815,4804708.01053,11239,0.895032,0.0684104
504,572978.528071,4804703.01397,42953,3.42062,1.5183127
505,569220.856567,4804617.3911,96616,7.69414,0.0056415
